state,order_count,avg_delivery_days,min_delivery_days,max_delivery_days,avg_carrier_days,cities_served,total_revenue,delivery_cluster,cluster
AM,151,26.58342117369052,4.118402778171003,138.8777893516235,23.758237828075,5,27596.18,2,Slow
AL,411,24.7008488780837,4.191666666418314,90.96099537005648,21.24839303415799,66,94195.79,2,Slow
PA,981,23.73280714360701,4.3790277778171,195.63401620369405,20.24864660022034,89,212027.55,2,Slow
MA,735,21.632152021919588,3.0769212963059545,168.08280092617497,18.034681988541088,120,147807.29,2,Slow
SE,344,21.42041040859104,6.138391203712672,194.6336111109704,17.912435871565194,45,70289.13,2,Slow
CE,1341,21.13718139793096,2.850254629738629,168.18190972227603,17.842634918656767,161,266463.97,2,Slow
PB,551,20.473139724922376,5.72503472212702,102.17065972229466,16.99522679723113,90,137834.65,2,Slow
RN,511,19.664896082460203,1.4218287034891546,174.04807870369405,15.938699649373495,89,100728.3,2,Slow
PI,504,19.43926690641554,2.030613426119089,194.8501736111939,16.24622253454124,72,105272.17,2,Slow
RO,251,19.33408246643144,7.876238425727934,50.77994212927297,16.46493406005508,35,56975.7,2,Slow
BA,3483,19.256187208239368,0.8634259263053536,167.94375000009313,15.958605435397182,352,591270.6,2,Slow
PE,1667,18.445921871173976,1.669976851902902,166.14173611113802,15.204747967067805,152,309074.59,2,Slow
MT,909,18.023221590678126,3.9204861111938953,79.54930555587634,14.89549475664691,99,181441.72,2,Slow
TO,295,17.324717592597956,5.39288194430992,58.01054398156703,13.798828939110104,56,60007.37,2,Slow
ES,2068,15.831547394375283,2.161793981678784,209.6286111110821,12.443613075569717,95,317682.65,0,Moderate
MS,722,15.585710667391693,3.0393402776680887,58.87276620371267,12.43727234982656,66,134421.54,0,Moderate
GO,2047,15.580381526033024,1.2601157408207655,181.06052083335817,12.422179736833725,175,334294.22,0,Moderate
RJ,13004,15.381203130516749,0.5334143522195518,208.35175925958904,12.053135328017992,145,2055690.45,0,Moderate
RS,5543,15.263383985310222,1.0737384255044162,186.2367708333768,12.061406702064057,374,861608.4,0,Moderate
SC,3661,14.940514839220612,1.5418981481343508,98.1779976855032,11.61644562113533,237,595208.4,0,Moderate
DF,2142,12.93108889234581,1.2666782410815358,68.62114583328366,9.775652584333075,6,346146.17,0,Moderate
PR,5129,12.034993218934318,1.0878703705966473,97.4685069443658,8.827417399612964,360,781919.55,0,Moderate
MG,11804,11.993710085919927,1.053900463040918,187.7438425924629,8.7532611061746,740,1819277.61,0,Moderate
SP,42301,8.774181095610508,0.7813657410442829,191.46354166651145,5.611909943578983,627,5769081.27,1,Efficient
